CLIENTNUM,Customer_Age,Income_Category,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Attrition_Flag
5919,42,$80K - $120K,7260,713,4253,73,0.098,0
6137,44,Less than $40K,1780,1338,4268,87,0.752,0
3321,45,$60K - $80K,8670,1930,13767,96,0.223,0
9447,49,Less than $40K,3538,0,1265,38,0,0
8702,42,Less than $40K,2996,1992,4463,87,0.665,0
8607,50,Less than $40K,3287,2517,4148,83,0.766,0
5347,50,Less than $40K,9966,0,4401,60,0,0
4159,37,$80K - $120K,11309,0,4809,71,0,0
5753,46,$60K - $80K,14701,1635,3490,69,0.111,0
9316,45,$80K - $120K,20958,1936,14314,99,0.092,0
9369,46,$40K - $60K,2259,1346,7745,88,0.596,0
8808,63,Unknown,18550,0,2616,42,0,1
3579,34,$60K - $80K,8063,2149,2042,49,0.267,0
7129,43,Less than $40K,3767,976,3163,60,0.259,0
5466,49,$60K - $80K,4596,0,2872,62,0,0
4643,39,Less than $40K,9235,1479,1537,49,0.16,0
7591,52,$60K - $80K,4153,0,1771,41,0,0
2141,43,$40K - $60K,3771,0,14662,125,0,0
7255,39,$40K - $60K,7723,1902,1241,22,0.246,0
7921,42,Less than $40K,2363,1495,4420,65,0.633,0
1993,50,$80K - $120K,12906,321,2078,62,0.025,1
3204,47,Unknown,1828,1517,4542,82,0.83,0
5871,51,Less than $40K,6006,1576,3199,65,0.262,0
4254,31,Less than $40K,3273,2517,2726,57,0.769,0
8414,48,Less than $40K,10610,0,15050,108,0,0
5720,51,Less than $40K,2943,2131,4554,75,0.724,0
2714,53,$60K - $80K,29038,2295,12025,103,0.079,0
9165,58,$40K - $60K,5386,0,4846,84,0,0
2085,51,Unknown,4789,2203,4718,81,0.46,0
2275,47,Less than $40K,1776,1519,4295,60,0.855,0
4355,37,Unknown,5674,0,1096,29,0,1
7042,44,Less than $40K,1880,0,2469,34,0,1
7625,54,$120K +,5597,0,4844,58,0,0
1292,39,Less than $40K,1902,962,4203,69,0.506,0
8269,51,$40K - $60K,1590,1273,7352,80,0.801,0
3240,52,Less than $40K,2936,2181,4650,78,0.743,0
2770,46,$60K - $80K,9981,807,1456,30,0.081,0
9938,33,$40K - $60K,10023,504,2878,65,0.05,0
2661,48,$120K +,24593,0,2084,31,0,1
3951,55,$80K - $120K,18022,0,14485,106,0,0
6743,40,Less than $40K,7587,0,3157,59,0,0
1033,53,$80K - $120K,34516,1583,12906,100,0.046,0
7141,37,$40K - $60K,10226,0,2243,44,0,1
7021,46,$60K - $80K,4267,0,1067,23,0,1
3161,49,$40K - $60K,3263,1522,4288,69,0.466,0
7309,53,Less than $40K,3199,0,4805,59,0,1
2496,59,Less than $40K,2833,1609,1335,23,0.568,0
3928,44,Less than $40K,2617,1508,4400,60,0.576,0
9181,46,$60K - $80K,30379,2175,9059,100,0.072,0
1080,38,$60K - $80K,3417,1749,2068,34,0.512,0
4137,49,Less than $40K,3208,0,4531,86,0,0
7739,54,$80K - $120K,11114,2482,5044,81,0.223,0
2848,42,Less than $40K,3659,0,4068,61,0,0
7089,46,$80K - $120K,34516,2113,1362,31,0.061,0
7508,40,Less than $40K,2387,2013,2134,41,0.843,1
6278,55,$120K +,24542,2354,984,24,0.096,1
8265,53,Less than $40K,3445,1074,1074,31,0.312,0
2512,48,$40K - $60K,17812,0,8379,106,0,0
3559,34,$60K - $80K,4245,1815,1534,34,0.428,0
5484,57,$120K +,23700,1314,1644,28,0.055,0
3561,36,$40K - $60K,9887,994,2552,64,0.101,0
1783,41,$60K - $80K,22770,2517,1882,38,0.111,0
8233,50,$60K - $80K,21096,0,1882,39,0,1
4444,47,$120K +,6143,1151,4330,72,0.187,0
4335,57,Less than $40K,3451,0,3031,57,0,0
3477,47,Unknown,10714,2407,4328,71,0.225,0
5678,33,$80K - $120K,1438.3,681,2730,48,0.473,0
9244,50,$120K +,34516,397,7454,81,0.012,1
3900,59,Less than $40K,6834,900,4422,70,0.132,0
7344,51,$40K - $60K,7925,1445,3815,65,0.182,0
1531,40,Unknown,2896,2100,4614,83,0.725,0
9803,35,$60K - $80K,8547,1666,1311,33,0.195,0
7410,53,Less than $40K,2329,2290,4609,76,0.983,0
1587,59,$60K - $80K,3943,2517,3527,59,0.638,0
9229,33,$120K +,25033,2300,2529,71,0.092,0
9980,39,$60K - $80K,1818,0,2054,55,0,1
8090,57,$80K - $120K,10378,1540,1306,32,0.148,0
2796,50,$80K - $120K,4051,1183,1837,57,0.292,0
6731,43,Less than $40K,8771,1662,3779,72,0.189,0
8112,53,Less than $40K,4287,0,1635,41,0,1
4848,48,$60K - $80K,6085,930,3154,59,0.153,0
3869,35,$80K - $120K,17030,1911,715,25,0.112,1
8278,41,$60K - $80K,5784,0,4173,80,0,0
2369,44,Less than $40K,2368,1244,4289,71,0.525,0
9648,38,Less than $40K,10343,2070,14805,115,0.2,0
2540,52,Unknown,12366,0,4880,76,0,0
4495,49,$40K - $60K,11115,1292,3956,74,0.116,0
7121,58,$60K - $80K,13784,698,13120,91,0.051,0
7594,42,$80K - $120K,26690,0,4363,76,0,0
6793,43,$60K - $80K,1438.3,0,5200,89,0,0
9140,44,$80K - $120K,1965,1021,3968,57,0.52,0
6204,50,Less than $40K,9355,1626,1230,28,0.174,0
2242,45,$120K +,26107,0,1697,47,0,1
1489,42,Less than $40K,3200,1733,5026,79,0.542,0
1977,50,Unknown,16763,0,3626,69,0,0
8182,38,$60K - $80K,34516,1494,7885,85,0.043,0
8862,58,$80K - $120K,2994,2351,1540,32,0.785,0
2689,36,$40K - $60K,3152,1986,2530,50,0.63,0
8269,48,Less than $40K,2423,1773,2038,64,0.732,0
8161,60,Unknown,3803,1448,4575,78,0.381,0
7532,37,Less than $40K,2353,1095,5038,84,0.465,0
3156,47,$60K - $80K,3394,0,3115,69,0,0
5149,65,Less than $40K,11097,0,4836,83,0,0
6856,43,$60K - $80K,2476,1944,4025,65,0.785,0
8501,44,$80K - $120K,25894,2517,4847,49,0.097,1
4519,49,$60K - $80K,14895,0,5147,53,0,1
9371,40,$80K - $120K,11721,1175,4187,73,0.1,0
4717,38,Less than $40K,2717,1591,2064,33,0.586,0
1134,36,$120K +,11791,1168,14885,101,0.099,0
3705,46,Unknown,6853,1679,3543,52,0.245,0
8613,44,Unknown,9908,2066,3749,80,0.209,0
4844,42,$60K - $80K,7255,0,3148,62,0,0
1779,50,Less than $40K,3026,1888,3687,58,0.624,0
9713,45,$80K - $120K,29003,2323,1676,36,0.08,0
7587,46,Less than $40K,7578,1794,5328,78,0.237,0
2030,46,$80K - $120K,3665,1725,1881,55,0.471,0
7454,52,Unknown,29551,2095,3226,63,0.071,0
4558,43,Unknown,9535,660,4210,81,0.069,0
1361,44,$40K - $60K,1438.3,0,3971,60,0,0
7206,50,Less than $40K,1780,893,4630,73,0.502,0
8865,45,Unknown,12587,815,3914,83,0.065,0
8378,51,$120K +,34516,1848,14149,103,0.054,0
5781,47,Unknown,1438.3,0,4503,89,0,0
8279,51,Less than $40K,2268,651,5016,88,0.287,0
6170,52,Less than $40K,2743,1705,6993,97,0.622,0
3628,40,$60K - $80K,25219,1503,4429,87,0.06,0
6816,52,$120K +,20974,0,1246,27,0,1
8088,39,$80K - $120K,30753,1661,1780,33,0.054,0
7835,52,Less than $40K,8203,654,2910,63,0.08,0
2950,65,Less than $40K,2022,0,4623,65,0,0
4286,32,Less than $40K,9550,2517,13783,116,0.264,0
5169,38,$80K - $120K,16722,0,15110,113,0,0
2296,44,Less than $40K,1924,1471,3521,58,0.765,0
9326,34,Less than $40K,3625,2517,2616,46,0.694,0
1091,40,$60K - $80K,2223,597,3331,67,0.269,0
1398,48,Unknown,21416,0,4221,75,0,0
2016,55,$60K - $80K,6054,1103,3998,80,0.182,0
8250,51,$40K - $60K,2585,1847,3480,64,0.715,0
1853,50,Less than $40K,4143,1888,3940,74,0.456,0
5535,53,Less than $40K,1665,964,4881,75,0.579,0
9972,47,$80K - $120K,24580,2517,3069,62,0.102,0
3141,35,Less than $40K,2158,1299,4946,73,0.602,0
8429,41,Less than $40K,2470,1566,5011,61,0.634,0
8627,52,Less than $40K,2253,1981,4758,81,0.879,0
1465,36,Less than $40K,2622,2489,2717,79,0.949,0
8168,46,$120K +,2692,1631,4619,83,0.606,0
5290,35,Less than $40K,2004,0,1974,60,0,0
1544,44,Less than $40K,6441,2151,7123,94,0.334,0
7782,65,Less than $40K,5363,1309,3855,63,0.244,0
2812,27,Less than $40K,1438.3,990,3855,73,0.688,0
5982,39,$60K - $80K,23402,958,7570,98,0.041,0
2840,50,$60K - $80K,2205,1659,4813,77,0.752,0
3478,62,Less than $40K,7075,1396,4409,75,0.197,0
8620,55,$120K +,24250,278,2153,41,0.011,1
7007,55,Less than $40K,2453,968,2218,50,0.395,0
4150,40,Less than $40K,1965,0,4268,91,0,0
8691,43,$40K - $60K,9662,817,3817,70,0.085,0
3278,39,$40K - $60K,4489,2498,2153,58,0.556,0
7951,56,$80K - $120K,10230,1082,1484,34,0.106,0
2909,47,$80K - $120K,9437,2024,4715,78,0.214,0
2901,41,$60K - $80K,34516,1559,8888,104,0.045,0
9805,55,Unknown,3602,2013,1935,47,0.559,0
7570,52,Unknown,8279,1582,4419,63,0.191,0
8134,29,Less than $40K,2926,0,2775,74,0,0
3790,42,$40K - $60K,2993,2249,4106,81,0.751,0
7546,46,$60K - $80K,17673,1783,3160,59,0.101,0
7505,45,$40K - $60K,5662,1952,4014,61,0.345,0
9983,54,Less than $40K,6266,1819,1456,27,0.29,0
8344,50,Less than $40K,2477,0,2037,43,0,1
2775,37,Less than $40K,2282,0,2751,68,0,0
5025,44,Unknown,17116,1289,3632,50,0.075,0
7971,43,Unknown,3287,1697,5236,77,0.516,0
8225,49,$80K - $120K,16156,2517,4160,81,0.156,0
3135,41,Less than $40K,2601,1861,5111,83,0.715,0
1038,50,Less than $40K,3350,1335,4906,89,0.399,0
4971,54,$80K - $120K,10448,1569,1604,39,0.15,0
8483,58,$60K - $80K,1438.3,0,1539,40,0,0
9514,39,$60K - $80K,11906,2032,1642,39,0.171,0
8072,47,Less than $40K,7136,2345,7729,86,0.329,0
7320,46,Less than $40K,1787,0,2345,36,0,1
1368,42,$80K - $120K,19366,1592,3627,66,0.082,0
7511,42,Less than $40K,6078,1478,8442,95,0.243,0
2398,54,Unknown,5342,605,2426,46,0.113,1
2745,53,$120K +,11023,0,1656,41,0,0
9427,37,Less than $40K,2352,0,2344,48,0,0
3215,56,$120K +,16867,0,654,14,0,1
8342,26,Unknown,2347,0,2595,56,0,0
8975,54,$80K - $120K,2798,1256,2631,55,0.449,0
7149,40,Unknown,8823,0,4453,84,0,0
1729,45,$60K - $80K,3401,0,744,18,0,1
5923,45,$40K - $60K,10400,1777,1105,28,0.171,0
3695,44,$80K - $120K,10908,0,4883,42,0,1
5000,34,$60K - $80K,2033,1832,4110,74,0.901,0
8415,40,$80K - $120K,9599,2356,4754,84,0.245,0
7973,41,$80K - $120K,12270,0,4578,67,0,0
4281,44,Less than $40K,3226,2517,4317,81,0.78,0
9852,49,$60K - $80K,5662,1484,1693,25,0.262,1
3822,64,Less than $40K,1682,0,1811,39,0,1
8559,42,Less than $40K,3308,2517,5104,85,0.761,0
1135,34,$120K +,23959,2517,1870,45,0.105,0
3064,46,Less than $40K,8551,1067,1097,32,0.125,1
6679,47,Less than $40K,2291,1419,4498,81,0.619,0
1971,49,$120K +,34516,1634,7788,94,0.047,0
2609,42,$40K - $60K,5424,1812,1634,44,0.334,0
2262,40,$40K - $60K,6033,0,4505,74,0,0
6482,38,$80K - $120K,11777,1781,2763,62,0.151,0
5185,45,Less than $40K,5583,0,3317,71,0,0
4537,43,Less than $40K,1620,771,4387,91,0.476,0
6503,48,$60K - $80K,13197,0,8424,84,0,0
4229,50,$40K - $60K,10946,1912,2448,58,0.175,0
3187,50,Less than $40K,2590,2087,4248,73,0.806,0
5472,42,$80K - $120K,16054,0,3449,75,0,0
9445,44,Less than $40K,2679,727,4804,78,0.271,0
6446,42,Less than $40K,13441,2517,1894,49,0.187,0
9940,47,Less than $40K,1850,896,2613,41,0.484,1
8074,44,$40K - $60K,4333,0,1558,40,0,1
4841,39,$80K - $120K,8434,2222,1414,27,0.263,0
2365,52,Less than $40K,4950,1829,4529,73,0.369,0
2353,36,Less than $40K,4066,1639,3040,56,0.403,0
3083,45,Less than $40K,6091,0,3340,60,0,0
9720,52,Less than $40K,1801,0,5047,79,0,0
9449,53,$80K - $120K,6704,1354,1331,30,0.202,0
2167,32,Less than $40K,1438.3,1228,2580,67,0.854,0
4082,43,$60K - $80K,2049,1530,4521,70,0.747,0
8749,53,Less than $40K,1438.3,0,2014,53,0,1
8693,51,Less than $40K,1757,331,2377,47,0.188,1
9699,48,Less than $40K,13991,1580,4100,74,0.113,0
3621,41,Less than $40K,1438.3,0,4897,96,0,0
8480,40,$60K - $80K,18975,0,4803,65,0,1
9591,37,$40K - $60K,19055,2517,15091,124,0.132,0
2432,34,$80K - $120K,9131,916,1893,36,0.1,0
2299,50,Less than $40K,8589,685,3553,63,0.08,0
3547,51,$80K - $120K,8783,2142,4425,83,0.244,0
7159,50,$40K - $60K,2151,1163,2513,62,0.541,0
8222,44,Less than $40K,2900,1987,4549,70,0.685,0
5260,45,$40K - $60K,4718,1591,4598,80,0.337,0
2426,46,Less than $40K,15164,532,8356,68,0.035,1
6079,52,$120K +,8596,2019,4017,80,0.235,0
4805,42,$80K - $120K,18085,1487,1582,47,0.082,0
8560,45,Less than $40K,2030,1269,5067,88,0.625,0
3679,50,Unknown,5708,1884,4914,60,0.33,0
2209,62,Less than $40K,2856,2517,4473,67,0.881,0
7504,39,$60K - $80K,34516,1662,13578,105,0.048,0
4882,46,Unknown,6083,1716,4528,86,0.282,0
2415,53,$40K - $60K,2121,0,1464,32,0,1
6270,44,$120K +,14527,2070,3965,58,0.142,0
8261,36,$40K - $60K,3735,2027,1672,48,0.543,0
5563,55,Less than $40K,1438.3,756,4436,73,0.526,0
5871,48,Less than $40K,1438.3,816,4777,69,0.567,0
6994,40,Less than $40K,2969,0,4109,70,0,0
7787,38,$40K - $60K,1593,1091,4136,67,0.685,0
2316,41,Less than $40K,7768,1669,1051,22,0.215,0
8711,44,$40K - $60K,9317,847,4121,81,0.091,0
8920,52,Less than $40K,2340,1101,4501,68,0.471,0
6782,37,Less than $40K,3423,647,14308,124,0.189,0
3492,64,Unknown,3250,1992,1355,36,0.613,0
7518,43,Less than $40K,3342,2517,5848,81,0.753,0
4564,42,Unknown,1898,725,5051,64,0.382,0
8195,52,Less than $40K,3040,2517,4608,61,0.828,0
3142,49,$120K +,11714,949,5366,68,0.081,1
5056,51,$40K - $60K,6205,2204,1347,28,0.355,0
2616,51,Less than $40K,5189,1171,16563,94,0.226,0
